About,Описание
Settings,Настройки
Logout,Выйти
Login,Войти
Register,Регистрация
First name,Имя
Last name,Фамилия
"Please check your email and follow the sent link","Пожалуйста, проверьте свой почтовый ящик и перейдите по отправленной ссылке"
"Email confirmed successfully","Email успешно подтвержден"
Transactions history,История транзакций
Dashboard,Панель управления
Administrators,Администраторы
All right reserved,Все права защищены
Terms and Conditions,Условия и положения
Stage one,Первый этап
Start date,Дата начала
End date,Дата завершения
Discount,Скидка
The discount is offered throughout the 1st stage (November 27 through December 7) and will be 40% for the first day and 20% thereafter.,Скидка предоставляется на протяжении всего 1го этапа (27 ноября - 7 декабря) и составит 40 % в первый день и 20 % во все оставшиеся дни этого этапа.
Purchase limits,Ограничения на покупки
Referral Program,Реферальная программа
"The minimum contribution limit remains the same as during presale – 50 USD (in CPT equivalent). Both existing participants who registered themselves during presale and new participants can take part in the token sale.","Минимальный вклад остается таким же, как и во время предпродажи - 50 USD (в эквиваленте CPT).<br> Участники, зарегистрировавшиеся во время предпродажи, а также новые участники могут принять участие в продаже токенов."
"Anyone can get registered and participate in the token sale (see Terms and Conditions for legal restrictions). A new participant can get registered either directly at the web page of the project or using a group invite link from an existing participant. Newly registered participants can invite further potential participants by sending them their group invite links. The following reward system is applicable to all participants (newly registered or registered earlier) who have at least 10000 CPTs in their Cryptaur wallet (cumulatively from all the previous presale and sale stages) on the CPTs purchased during the token sale by those they invited","Любой может зарегистрироваться и участвовать в продаже токенов (см. Условия правовых ограничений). Новый участник может зарегистрироваться либо непосредственно на сайте проекта, либо с помощью приглашения группы от уже зарегистрированного участника, перейдя по ссылке. Новые зарегистрированные участники могут приглашать потенциальных участников, отправив им свои приглашения..<br> Данная система вознаграждения применима ко всем приглашенным участникам (только что зарегистрированным или зарегистрированным ранее), у которых в кошельке Cryptaur (по совокупности со всех предыдущих этапов продажи и предпродажи) есть по меньшей мере 10000 CPT, на CPT, приобретенных во время продажи токенов"
From Level,С уровня
"The bounty is awarded with the compression procedure applied to participants who have at least 10000 CPTs. Bounties for the purchases made during the 1st Stage will be calculated at the end of the 1st Stage with the compression procedure applied. The bounty received can be withdrawn to any Ether wallet address or re-invested into CPTs. In case of re-investment the discount will be 40% on the first day and 20% until January 22, including the period between Stage One and Stage Two of the token sale.","Для получения баунти путем компрессии участник должен иметь на счету не менее 10000 CPT. Баунти за покупки, сделанные во время 1-го этапа, будут рассчитаны в конце 1-го этапа путем компрессии.<br> Полученную сумму можно снять на любой адрес кошелька Ether или повторно инвестировать в CPT. В случае реинвестирования скидка составит 40% в первый день и 20% до 22 января, включая период между первым  и вторым этапом продажи токенов."
My contribution,Мой вклад
To learn about the minimum contribution limits,Чтобы узнать минимальные пределы вклада
Contributions are not possible between stages,Вклады между этапами недоступны
click here,кликните сюда
select currency,выберите валюту
select amount,выберите сумму
"Copy address below to send","Скопируйте адрес ниже, чтобы его отправить"
You will get,Вы получите
will be received as donation,будут получены в качестве пожертвования
Payment server,Платежный сервер
Error,Ошибка
URL,URL
Key id,Key id
Secret key,Secret key
Set,Задать
Cryptaur login,Cryptaur авторизация
NONE,Не использовать
SMS,SMS
EMAIL,Эл. почта
SMS&EMAIL,SMS и эл. почта
Code has been send by SMS to number,Код был отправлен в SMS на номер
Code has been send by EMAIL to address,Код был отправлен в письме на адрес
"e.g. 79997774433","например, 79997774433"
"Two-Factor Authentication","Двухфакторная авторизация"
Send,Отправить
Re-send,Отправить ещё раз
Use only numbers,Используйте только цифры
"You have two-factor authentication enabled so you must verify login","У вас подключена двухфакторная авторизация и вы должны подтвердить вход"
"Click button to send the code","Нажмите кнопку для отправки кода"
"Click button to send the codes","Нажмите кнопку для отправки кодов"
"You must choose two-factor authentication option","Выберите способ двухфакторной авторизации"
"Two-factor authentication settings","Настройки двухфакторной авторизации"
"Unable to send SMS, service temporary disabled","Невозможно отправить SMS, сервис временно недоступен"
"Previously selected method now disabled, you must choose another","Выбранный ранее метод сейчас отключен, вы должны выбрать другой"
"You cannot select SMS-based second factor authentication methods without verified phone number","Вы не можете выбрать задействующие SMS методы двухфакторной авторизации без подтверждённого номера телефона"
"Phone number verification","Подтверждение номера телефона"
"You successfully verified your phone number","Вы успешно подтвердили телефонный номер"
"Wrong code, we have been sended another","Неверный код, мы отправили другой"
"Wrong code","Неверный код"
"Two-factor authentication method has been set","Метод двухфакторной авторизации установлен"
"Input code, that you get with SMS","Введите код, полученный по SMS"
"Service error, cannot send code","Ошибка сервиса, невозможно отправить код"
Authentication code,Код авторизации
Ok,Ок
Cancel,Отмена
Accept,Применить
Verify,Подтвердить
You must verify phone number,Вы должны подтвердить номер
Wrong format of the phone number,Неверный формат телефонного номера
"Authentication code has been sended using preferred method","Код авторизации был отправлен выбранным методом"
"Authentication code has not been sended","Код авторизации не был отправлен"
"Authentication codes have been sended","Коды авторизации были отправлены"
"You cannot send another code(s) until seconds will expire","Вы не можете отправить новые код(ы), пока не истечёт %%num%% секунд"
Password,Пароль
Forgot your account login,Забыли имя пользователя кабинета
Recover,Восстановить
Password recovery,Восстановление пароля
Password successfully changed,Пароль успешно изменен
Password must be more than 6 symbols,Пароль должен быть не менее 6 символов
Spaces not valid,Пробелы недопустимы
"If the user exists then he was sent a new password","Если пользователь существует, то ему был отправлен новый пароль"
